Path,Scan Area,Condition,Line ,OPA,Paraffin Block ID,MIX
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0128,ScanRegion0,ESTR_AG,CTL04E,12,29,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0128,ScanRegion1,ESTR_AG,CTL08A,12,30,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0128,ScanRegion2,ESTR_INH,CTL04E,12,31,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0128,ScanRegion3,ANDR_AG,CTL04E,12,33,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0128,ScanRegion4,ESTR_INH,CTL08A,12,32,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0128,ScanRegion5,ANDR_AG,CTL08A,12,34,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0129,ScanRegion0,ANDR_ANT,CTL04E,13,35,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0129,ScanRegion1,ARYL_INH,CTL08A,13,40,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0129,ScanRegion2,ARYL_INH,CTL04E,13,39,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0129,ScanRegion3,ARYL_AG,CTL08A,13,38,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0129,ScanRegion4,ANDR_ANT,CTL08A,13,36,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0129,ScanRegion5,ARYL_AG,CTL04E,13,37,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0130,ScanRegion0,LX_AG,CTL04E,14,41,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0130,ScanRegion1,GC_AG,CTL08A,14,46,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0130,ScanRegion2,LX_AG,CTL08A,14,42,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0130,ScanRegion3,LX_INH,CTL04E,14,43,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0130,ScanRegion4,LX_INH,CTL08A,14,44,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0131,ScanRegion0,GC_INH,CTL04E,15,47,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0131,ScanRegion1,THYR_INH,CTL04E,15,51,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0131,ScanRegion2,THYR_AG,CTL08A,15,50,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0131,ScanRegion3,GC_INH,CTL08A,15,48,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0131,ScanRegion4,THYR_AG,CTL04E,15,49,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0131,ScanRegion5,THYR_INH,CTL08A,15,52,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0132,ScanRegion4,DMSO,CTL04E,16,57,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0132,ScanRegion5,DMSO,CTL08A,16,58,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0133,ScanRegion4,RET_AG,CTL08A,17,64,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0134,ScanRegion0,RET_INH,CTL04E,18,65,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0134,ScanRegion2,RET_INH,CTL08A,18,66,1
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0137,ScanRegion0,ESTR_AG,CTL04E,12,29,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0137,ScanRegion1,ANDR_AG,CTL08A,12,34,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0137,ScanRegion2,ESTR_AG,CTL08A,12,30,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0137,ScanRegion3,ESTR_INH,CTL04E,12,31,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0137,ScanRegion4,ANDR_AG,CTL04E,12,33,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0137,ScanRegion5,ESTR_INH,CTL08A,12,32,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0138,ScanRegion0,ANDR_INH,CTL08A,13,36,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0138,ScanRegion1,ANDR_INH,CTL04E,13,35,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0138,ScanRegion2,ARYL_INH,CTL04E,13,39,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0138,ScanRegion3,ARYL_AG,CTL08A,13,38,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0138,ScanRegion4,ARYL_INH,CTL08A,13,40,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0138,ScanRegion5,ARYL_AG,CTL04E,13,37,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0139,ScanRegion0,LX_AG,CTL08A,14,42,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0139,ScanRegion1,LX_INH,CTL08A,14,44,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0139,ScanRegion2,LX_AG,CTL04E,14,41,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0139,ScanRegion3,LX_INH,CTL04E,14,43,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0139,ScanRegion4,GC_AG,CTL08A,14,46,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0140,ScanRegion0,GC_INH,CTL08A,15,48,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0140,ScanRegion1,GC_INH,CTL04E,15,47,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0140,ScanRegion2,THYR_INH,CTL04E,15,51,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0140,ScanRegion3,THYR_AG,CTL04E,15,49,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0140,ScanRegion4,THYR_INH,CTL08A,15,52,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0140,ScanRegion5,THYR_AG,CTL08A,15,50,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0141,ScanRegion2,DMSO,CTL08A,16,58,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0141,ScanRegion3,DMSO,CTL04E,16,57,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0142,ScanRegion2,RET_AG,CTL08A,17,64,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0143,ScanRegion0,RET_INH,CTL08A,18,66,2
T:\Project\EndPoints\TPSSU\Pictures\20240424_manuel_lessi_0143,ScanRegion1,RET_INH,CTL04E,18,65,2
