index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,914.714317946798,2622.400648341956
0,rectangle,1,914.714317946798,5827.438920880282
0,rectangle,2,4723.441306202961,5827.438920880282
0,rectangle,3,4723.441306202961,2622.400648341956
1,rectangle,0,1463.522241326646,12050.920269559127
1,rectangle,1,1463.5222413266445,16101.12274410242
1,rectangle,2,5327.130021920795,16101.122744102424
1,rectangle,3,5327.130021920801,12050.920269559128
2,rectangle,0,7994.336362063981,10766.709728850275
2,rectangle,1,7994.336362063981,14729.102935652794
2,rectangle,2,11627.44481483859,14729.102935652794
2,rectangle,3,11627.44481483859,10766.709728850275
